name,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,available
"Low$pacious in Williamsburg, Bklyn",Jason,Brooklyn,Williamsburg,40.71635,-73.94609,Private room,75,3,0,,,1,358
1 Bdrm in 2 Bdrm Apt in Upper East Lux Drmn Bldng,Jessica,Manhattan,Upper East Side,40.77272,-73.95307,Private room,190,3,0,,,2,0
Charming 1BD in SoHo,L,Manhattan,SoHo,40.72509,-74.00304,Entire home/apt,250,5,152,23/06/2019,1.69,1,109
Feel like you never leave your home,Tom,Brooklyn,East New York,40.66795,-73.89232,Entire home/apt,100,1,119,30/06/2019,1.39,2,289
Sunny apartment  in Greenpoint,Eliza,Brooklyn,Greenpoint,40.72582,-73.95843,Entire home/apt,130,4,9,02/04/2018,0.1,1,188
Furnished Bedroom with private half bath,Ron,Manhattan,Harlem,40.80637,-73.95433,Private room,140,2,44,26/06/2019,0.49,1,260
Sunny private room featured in film,Alice,Brooklyn,Flatbush,40.64387,-73.96855,Private room,75,2,158,02/01/2019,1.77,1,168
Sunny 1BR East Harlem Apartment,Dimitry,Manhattan,East Harlem,40.7968,-73.93611,Entire home/apt,150,7,12,26/03/2016,0.14,1,0
The best studio in town,Ibrahima,Manhattan,East Harlem,40.79596,-73.94463,Entire home/apt,90,3,51,04/05/2019,0.57,1,311
Fully Furnished 1B/1BTH UWS GEM  1 YR Sublease,Antonio,Manhattan,Upper West Side,40.78012,-73.98439,Entire home/apt,295,1,0,,,1,146
Penthouse Studio by Central Park,Carolyn,Manhattan,Upper West Side,40.77508,-73.9799,Entire home/apt,150,2,11,09/06/2019,0.13,1,2
Your Own 2 Br Apt Bedford and Grand,Kristina,Brooklyn,Williamsburg,40.71532,-73.96064,Entire home/apt,180,3,236,18/06/2019,2.74,2,242
Spacious + Sunny Studio in Ft. Greene Brooklyn!,Tina,Brooklyn,Fort Greene,40.68786,-73.97421,Private room,135,3,16,01/09/2018,0.18,1,0
2 rooms; private entrance & bath!,Oona,Brooklyn,Bushwick,40.70793,-73.91987,Private room,65,5,123,28/02/2019,1.42,1,46
Giant Sunny Bedroom & Private Bath in my Apartment,Ben,Manhattan,Upper West Side,40.79044,-73.97513,Private room,99,3,14,19/08/2015,0.22,1,365
Prime location! Backyard & outdoor shower! Unique!,Magdalena,Brooklyn,Greenpoint,40.72668,-73.95762,Private room,149,14,65,30/12/2018,0.73,1,364
"Private Room in Artist's Home, Stapleton, SI",Jonathan,Staten Island,Clifton,40.62318,-74.07848,Private room,59,1,50,03/06/2019,0.56,1,352
Large Sunny Bedroom with Bay Window,Kimberly,Manhattan,Harlem,40.82286,-73.94596,Private room,75,3,33,10/06/2019,0.39,3,301
Harlem/Hamilton Heights Sunny Room,Kimberly,Manhattan,Harlem,40.82451,-73.94457,Private room,75,3,30,01/01/2019,0.35,3,322
Clinton Hill Duplex near Pratt w/Balcony!,Mary,Brooklyn,Bedford-Stuyvesant,40.69348,-73.95927,Private room,75,3,13,31/01/2019,0.15,1,298
"Sunny 1 BR, West 80s & Central Park",Brian,Manhattan,Upper West Side,40.78443,-73.97399,Entire home/apt,109,30,18,07/06/2019,0.2,5,285
"2 BD / 2BA WITH GARDEN, SLEEPS 6",Karen,Brooklyn,Crown Heights,40.67679,-73.95639,Entire home/apt,225,4,1,21/04/2013,0.01,1,342
COMFORTABLE ROOM,Junior,Manhattan,East Harlem,40.79107,-73.94381,Private room,86,3,216,14/05/2019,2.44,1,250
Charming Ridgewood Soulful  Walk-Up,Richard,Queens,Ridgewood,40.70215,-73.91139,Private room,52,2,98,01/05/2019,1.09,1,326
"Comfortable, well-appointed room",P,Brooklyn,Prospect Heights,40.67339,-73.96519,Private room,100,2,61,02/06/2019,0.86,1,90
2ND AVENUE OFF HOUSTON/LOFTLIKE STU,Ariel,Manhattan,Lower East Side,40.72209,-73.99274,Entire home/apt,99,30,13,23/04/2019,0.34,9,289
Share in NYC's trendy East Village,Chris,Manhattan,East Village,40.73171,-73.98717,Private room,89,3,136,01/07/2019,1.52,1,193
Historic Brooklyn 2-Bedroom Apt,Andrew & Markus,Brooklyn,Bedford-Stuyvesant,40.69213,-73.951,Entire home/apt,135,2,39,09/06/2019,0.47,2,293
APT W/ OUTDOOR SPACE!! LONG TERM RENTAL PREFERRED!,Sean And Kiana,Manhattan,West Village,40.73237,-74.00608,Entire home/apt,199,14,65,01/07/2019,0.73,1,155
Come and go as  you please in BKLN!,Jane,Brooklyn,Kensington,40.64354,-73.97777,Entire home/apt,89,3,62,02/01/2019,0.71,1,189
Room in Huge 1200sf W Harlem Suite,Michael,Manhattan,Harlem,40.80343,-73.9531,Private room,110,3,47,30/06/2019,0.57,1,248
"Huge, Sunny, Open Loft in Brooklyn",Ana,Brooklyn,Bushwick,40.70462,-73.9228,Entire home/apt,120,2,42,20/06/2019,0.48,1,238
Cozy Nook in Heart of Williamsburg,Jason,Brooklyn,Williamsburg,40.71394,-73.96267,Private room,59,3,207,16/06/2019,2.29,2,284
Peaceful Room...,Maria Luiza,Brooklyn,Bay Ridge,40.6339,-74.02035,Private room,49,4,72,03/07/2019,0.81,2,343
Cute Room in Historic Loft!,Nora,Brooklyn,Greenpoint,40.73028,-73.95927,Private room,79,14,22,02/05/2019,0.25,1,268
Harlem on the Range,Katy,Manhattan,Harlem,40.8076,-73.94433,Entire home/apt,135,30,25,31/03/2019,0.28,1,249
Amazing Park Slope Duplex with Deck,Lillian,Brooklyn,South Slope,40.66485,-73.98343,Entire home/apt,185,2,215,30/06/2019,2.42,1,291
Entire 2 Bedroom Apartment in Williamsburg,Fabiana,Brooklyn,Williamsburg,40.71279,-73.95852,Entire home/apt,225,4,26,24/06/2017,0.73,1,0
Big Bright E Village 2BR (Baby Nursery),Erin,Manhattan,Gramercy,40.73294,-73.98282,Entire home/apt,245,5,18,02/01/2018,0.21,1,0
Private Manhattan Studio on Harlem/Heights Border,Candice,Manhattan,Washington Heights,40.83456,-73.9457,Entire home/apt,115,3,18,31/12/2018,0.21,1,31
"Luxury Williamsburg, Brooklyn LOFT",James,Brooklyn,Williamsburg,40.72091,-73.95814,Entire home/apt,325,2,320,07/07/2019,3.6,1,0
Artist Loft-McCarren Park-Williamsburg-BrooklynNYC,Todd,Brooklyn,Williamsburg,40.71819,-73.95414,Private room,95,2,160,02/07/2019,1.8,2,79
Chelsea/Meat Packing  Artist Space!,Amanda,Manhattan,West Village,40.73887,-74.00342,Private room,120,2,78,08/02/2019,1.22,1,0
Elegant Spacious Family Townhouse,Ted And Diane,Manhattan,Upper West Side,40.77892,-73.98238,Entire home/apt,499,30,64,03/08/2018,0.72,1,157
Large Master Bedroom - Williamsburg,Jason,Brooklyn,Williamsburg,40.71336,-73.96192,Private room,75,2,219,19/06/2019,2.44,2,277
Central Park Fifth Av MET Museum,S,Manhattan,Upper East Side,40.77688,-73.96177,Private room,109,1,66,10/12/2017,0.94,1,353
Real Williamsburg Artist Loft,Mathias,Brooklyn,Williamsburg,40.71368,-73.94478,Entire home/apt,160,3,25,22/12/2018,0.29,1,0
Lovely Upper East Yorkville 1 BDRM,Sara,Manhattan,Upper East Side,40.7761,-73.95265,Entire home/apt,219,4,102,28/06/2019,1.15,2,280
Cozy Upper East Side Studio,Nitzan,Manhattan,Upper East Side,40.77471,-73.95574,Entire home/apt,159,2,32,23/06/2019,0.47,1,7
"Large Cozy Room #2, Landmark Home 1 Block to PRATT",Erica,Brooklyn,Clinton Hill,40.68625,-73.96446,Private room,180,3,15,22/04/2019,0.18,6,266
"Lovely studio in East Village, NY",Esther,Manhattan,East Village,40.725,-73.98851,Entire home/apt,150,5,1,16/11/2015,0.02,1,0
NYC Summer Discount  1 BR Gramercy Apt,Jill,Manhattan,Kips Bay,40.74016,-73.97665,Entire home/apt,106,3,12,30/06/2019,0.14,1,271
"Awesome views, Central location",Robyn,Manhattan,Midtown,40.75023,-73.98293,Entire home/apt,299,10,19,11/06/2019,0.27,1,101
Spacious Manhattan Apartment near Central Park,Joseph,Manhattan,Upper West Side,40.78867,-73.96809,Entire home/apt,179,3,297,24/06/2019,3.37,1,205
Entire Apt: Sunny 2bd! 15min to NYC,Duane,Brooklyn,Crown Heights,40.66604,-73.95914,Entire home/apt,165,3,12,07/07/2019,0.13,1,343
Your Historic House in Brooklyn,Marc,Brooklyn,Flatbush,40.63593,-73.96076,Entire home/apt,500,4,9,02/01/2017,0.11,1,0
Creative Director's Chinatown Loft,Todd,Manhattan,Chinatown,40.71638,-73.99167,Entire home/apt,250,15,9,14/05/2016,0.1,1,190
"HOSTING YOUR COZY,  ECLECTIC MILIEU FOR NYC VISIT",Paula,Manhattan,Inwood,40.86658,-73.92558,Private room,87,7,46,25/05/2019,0.62,2,310
Charming private room in New-York,Jonathan,Brooklyn,Williamsburg,40.71179,-73.96449,Private room,79,4,42,24/06/2019,0.47,2,52
Cozy bedroom near Times Square,Pat,Manhattan,Hell's Kitchen,40.76186,-73.99165,Private room,75,2,118,01/07/2019,2.11,3,312
Artist's Flat in Historic Building #10263,Patrick,Brooklyn,Williamsburg,40.71417,-73.95917,Entire home/apt,200,30,53,03/05/2019,0.6,1,0
Queen size sofa bed in Harlem,Chryslaine,Manhattan,Harlem,40.82772,-73.93877,Private room,80,1,15,24/06/2019,0.21,1,329
Bklyn 6 Beds 1 Bathroom Rental 2,Steve And Heather,Brooklyn,East Flatbush,40.63602,-73.94607,Entire home/apt,115,3,64,11/05/2019,0.72,4,333
Bklyn 4 Beds 1 Bathroom Rental 3,Steve And Heather,Brooklyn,East Flatbush,40.63759,-73.9459,Entire home/apt,115,3,51,27/04/2019,0.58,4,327
4 Beds 2 Bathrooms Rental 1,Steve And Heather,Brooklyn,East Flatbush,40.63611,-73.94637,Entire home/apt,120,3,79,29/04/2019,0.88,4,349
Stylish & Quiet NYC Retreat!,Jason,Manhattan,Harlem,40.803,-73.95278,Private room,125,3,202,19/06/2019,2.29,1,217
"Bright, new luxury apartment in doorman building",Mary,Manhattan,Upper West Side,40.79526,-73.9655,Entire home/apt,387,1,23,31/12/2018,0.63,1,0
TIMES SQUARE MASTER BEDROOM!,J,Manhattan,Hell's Kitchen,40.75763,-73.99482,Private room,95,6,62,01/06/2019,0.76,2,80
"Lincoln Center Studio, Clean&Sunny!",Yj,Manhattan,Upper West Side,40.77577,-73.98258,Entire home/apt,99,2,36,23/08/2015,0.45,1,0
Serenity amidst the busy city,Marie,Manhattan,Upper East Side,40.77631,-73.95289,Entire home/apt,121,1,16,16/06/2019,0.19,2,351
Super Clean Apt by Columbus Circle,Gladys,Manhattan,Hell's Kitchen,40.76774,-73.9892,Entire home/apt,350,4,24,21/09/2017,0.27,1,362
Unique private room and bathroom in Brownstone,Laura,Manhattan,Harlem,40.81169,-73.94355,Private room,75,2,77,01/07/2019,0.88,2,144
TIMES SQUARE HOUSE!,J,Manhattan,Hell's Kitchen,40.75782,-73.99349,Private room,95,5,110,26/05/2019,1.27,2,43
Beautiful Room in a Beautiful New NYC Apartment,Ben,Manhattan,Harlem,40.83177,-73.95,Private room,89,1,56,16/07/2018,0.64,1,365
Best West Village/Meatpacking Space,R.,Manhattan,West Village,40.73104,-74.00879,Private room,195,1,7,07/06/2012,0.08,1,129
21 day Chelsea Apartment rental,Steven,Manhattan,Flatiron District,40.74253,-73.9916,Private room,160,21,0,,,1,0
"Heavy Sun, Quiet, Arty 1 Bedroom",Tony,Brooklyn,Sunset Park,40.64372,-74.02066,Entire home/apt,70,18,19,13/07/2016,0.22,1,0
Cosy apartment in West Village,Julie,Manhattan,Greenwich Village,40.72886,-74.00013,Private room,100,3,7,31/05/2015,0.09,1,0
Spacious Lower East Side Apt in NYC,Beth,Manhattan,Lower East Side,40.71868,-73.99017,Entire home/apt,140,1,53,28/10/2014,0.6,1,0
ARTY 2 BED EAST VILLAGE GEM,Jason,Manhattan,East Village,40.72143,-73.98117,Entire home/apt,189,3,265,24/06/2019,2.99,2,355
Williamsburg Loft: Amazing Sublet,Nom,Brooklyn,Williamsburg,40.71682,-73.96369,Private room,160,5,0,,,1,0
Artist 2BR in Park Slope w/backyard,Kate,Brooklyn,Park Slope,40.67725,-73.9821,Entire home/apt,178,30,8,02/01/2018,0.1,1,280
Spacious 2BR near Botanic Garden,Niki & Colin,Brooklyn,Crown Heights,40.66888,-73.95292,Entire home/apt,145,14,46,19/06/2018,0.52,1,38
Gorgeous brownstone next to park!,Sascha,Brooklyn,Park Slope,40.67188,-73.97533,Entire home/apt,125,5,6,04/11/2018,0.08,1,31
Exquisite Spacious Studio in Midtown,Ron,Manhattan,Chelsea,40.74964,-73.99158,Entire home/apt,265,4,75,01/07/2019,0.86,1,324
COMFORTABLE LARGE ROOM,Marvet,Brooklyn,Prospect-Lefferts Gardens,40.65846,-73.95057,Private room,77,5,11,23/06/2019,0.13,3,365
Cute Private room in Upper East Side #14,Shai,Manhattan,Upper East Side,40.78164,-73.94717,Private room,60,3,5,29/06/2019,1.47,9,0
Lower East Side 1bedroom apt in NYC,Marc,Manhattan,Chinatown,40.71515,-73.99029,Entire home/apt,129,3,132,23/06/2019,1.49,1,171
Large Beautiful East Village 1-Bdrm,Jared,Manhattan,East Village,40.72986,-73.97913,Entire home/apt,199,6,41,07/06/2019,0.47,1,36
Big room near Prospect Park! NY!,Camila,Brooklyn,Prospect-Lefferts Gardens,40.66039,-73.95937,Private room,92,7,34,07/04/2019,0.39,1,332
It's so easy to get to EVERYthing!,Molly,Brooklyn,Crown Heights,40.66898,-73.9571,Entire home/apt,185,3,34,09/06/2014,0.39,1,0
Manhattan -  Best Location in Midtown,Ellie,Manhattan,Midtown,40.75407,-73.96713,Entire home/apt,110,7,27,01/03/2019,0.31,1,192
Sunny private room right off L train,Kay,Brooklyn,Williamsburg,40.70712,-73.94013,Private room,65,4,30,13/04/2019,0.34,1,139
Beautiful Room in Manhattan Loft,Candice,Manhattan,Midtown,40.74553,-73.98943,Private room,135,3,214,02/06/2019,2.45,2,167
"Luxury, Adorable Studio Apartment",Jennifer,Manhattan,Upper East Side,40.77584,-73.9502,Shared room,115,30,12,15/04/2018,0.14,1,0
HOME AWAY FROM HOME,Lilly,Manhattan,Harlem,40.79967,-73.95156,Private room,175,2,6,30/07/2018,0.09,4,10
Beautiful 3 bedroom in Manhattan,Tracey,Manhattan,Upper West Side,40.80142,-73.96931,Private room,3000,7,0,,,1,365
Den of Zen at The Denizen Bushwick,Rico,Brooklyn,Williamsburg,40.70507,-73.9353,Private room,72,3,156,04/07/2019,1.8,1,110
Sunny large private room in Park Slope,Susan,Brooklyn,Park Slope,40.67962,-73.97655,Private room,80,2,30,29/12/2018,0.74,1,0
Eastern Parkway Brooklyn 1BR Flat,Andre,Brooklyn,Crown Heights,40.66847,-73.94875,Entire home/apt,125,5,1,04/09/2014,0.02,1,0
1400sf Manhattan View Artistic Loft,Veronika And John,Brooklyn,Greenpoint,40.7376,-73.95678,Private room,120,5,3,24/04/2019,0.09,1,242
"ingefära hus! Private room Williamsburg, Brooklyn",Ginger,Brooklyn,Williamsburg,40.71148,-73.95573,Private room,94,2,272,27/06/2019,3.18,3,22
Private MasterBR w/ View of Museum,Luke,Brooklyn,Prospect Heights,40.67425,-73.96514,Private room,56,3,63,01/01/2019,0.82,1,0
LUXURY 2BD/2BTH - HUGE PATIO,Alix,Manhattan,East Village,40.72899,-73.97792,Entire home/apt,549,30,58,01/07/2019,0.66,1,200
"Comfy Brooklyn 2BD, W/ Backyard",Max,Brooklyn,Greenpoint,40.72488,-73.94013,Entire home/apt,190,2,5,12/10/2015,0.1,1,0
Authentic designer loft/roof deck best Williamsbrg,Christina,Brooklyn,Williamsburg,40.72212,-73.95696,Private room,129,3,63,30/06/2019,0.71,2,87
Sunny Retreat with Roof Garden,Mark,Brooklyn,Bedford-Stuyvesant,40.68534,-73.93433,Entire home/apt,85,5,268,02/07/2019,3.04,2,202
Enjoy Staten Island Hospitality,Rimma & Jim,Staten Island,Graniteville,40.62109,-74.16534,Private room,20,3,80,26/05/2019,0.92,1,226
Great apt on the UWS - A RARE FIND!,Ido,Manhattan,Upper West Side,40.78161,-73.97898,Entire home/apt,145,3,22,14/04/2017,0.25,1,0
Cozy 2 BD in Midtown West,Geny,Manhattan,Hell's Kitchen,40.75643,-73.99046,Entire home/apt,200,7,13,17/06/2019,0.15,1,327
Park Slope Sunny Studio,Ellis,Brooklyn,Park Slope,40.67407,-73.98111,Entire home/apt,125,4,23,30/04/2019,0.67,2,262
Luxury L-Shape Studio + 3 cats,Alexander,Brooklyn,Sheepshead Bay,40.59721,-73.95149,Entire home/apt,50,30,3,04/12/2018,0.08,1,0
A cozy Red Room with private bathroom,William,Manhattan,Harlem,40.80491,-73.94866,Private room,160,3,10,24/10/2018,0.12,3,359
Cozy room with private bathroom & outside garden,William,Manhattan,Harlem,40.80334,-73.94805,Private room,180,3,14,04/04/2019,0.16,3,348
"Beautiful 1 bdrm, Inwood Manhattan",Brace,Manhattan,Inwood,40.87039,-73.91611,Private room,100,1,20,06/06/2019,0.28,1,0
Beautiful Loft/10 min to Manhattan!,Sophia,Brooklyn,Williamsburg,40.704,-73.93285,Private room,70,5,2,15/05/2015,0.02,1,0
New York City- Riverdale Modern two bedrooms unit,Orit,Bronx,Spuyten Duyvil,40.87991,-73.91673,Entire home/apt,120,2,47,03/07/2019,1.22,1,318
A PLACE TO STAY CLOSE TO MANHATTAN,Nen,Staten Island,Stapleton,40.62766,-74.07988,Private room,110,2,6,01/01/2019,0.19,1,363
Great room priv/bathrm Eastside location 70's ST,Cristina,Manhattan,Upper East Side,40.7685,-73.96034,Private room,105,7,93,07/06/2019,1.06,1,70
Midtown NYC - 1 Bedroom Apartment,Jon,Manhattan,Midtown,40.76082,-73.97548,Entire home/apt,250,3,116,03/01/2016,1.32,1,0
Cozy Room in Sunny Apartment (Long/Short Term),Yogi,Manhattan,Kips Bay,40.74238,-73.98122,Private room,74,240,15,04/09/2018,0.17,1,90
THERE'S NO PLACE LIKE HOME.........,Lilly,Manhattan,Harlem,40.80151,-73.9522,Entire home/apt,165,2,70,03/06/2019,0.8,4,15
Cozy home in vibrant Manhattan,Michael & Aleksandra,Manhattan,Washington Heights,40.83434,-73.94027,Private room,99,3,4,04/03/2019,0.41,1,335
LOCATION LOCATION LOCATION Sara's,Liz,Manhattan,Gramercy,40.73677,-73.98084,Entire home/apt,125,30,128,11/06/2019,1.46,4,0
Quaint & Quiet in Queens,Constance F.,Queens,Briarwood,40.71151,-73.81561,Private room,75,1,59,09/11/2018,0.69,2,0
Single Room,Luana,Queens,Ozone Park,40.68581,-73.84642,Shared room,45,1,8,30/09/2015,0.11,2,364
Charming brownstone apartment,Rebecka,Brooklyn,Columbia St,40.68636,-74.00345,Entire home/apt,159,2,106,24/06/2019,1.22,1,34
Williamsburg near soho .support artist living,Kristian & Di,Brooklyn,Williamsburg,40.70994,-73.96573,Private room,45,15,15,26/06/2019,0.57,4,242
Your Times Square Sanctuary,Kristina,Manhattan,Hell's Kitchen,40.76013,-73.99007,Private room,104,2,133,05/05/2019,1.51,1,147
Designer studio in Luxury Building,Alayna,Manhattan,Financial District,40.70621,-74.01525,Entire home/apt,225,4,27,25/05/2019,0.31,1,169
Private cozy bedroom in Nolita,Paola,Manhattan,Nolita,40.72172,-73.99689,Private room,100,5,61,02/01/2018,0.7,1,188
ArtistLoft-MccarenPark-Williamsburg,Todd,Brooklyn,Greenpoint,40.72049,-73.95221,Private room,90,2,2,08/10/2018,0.02,2,89
"Beautiful Bedrooms in Briarwood, NY",Constance F.,Queens,Briarwood,40.71068,-73.81577,Private room,75,1,16,01/01/2017,0.18,2,189
Flatiron-Designer's loft,Javier,Manhattan,Flatiron District,40.74125,-73.98862,Entire home/apt,350,7,0,,,1,0
Stylish Designer Studio with Piano,Daniel,Manhattan,Harlem,40.83091,-73.94223,Entire home/apt,135,5,38,16/05/2019,0.44,1,253
New York City for All Seasons!,Richelle,Manhattan,Upper West Side,40.7824,-73.98294,Private room,125,1,25,22/06/2013,0.28,1,311
STUNNING E Vill Penthouse,Wendy,Manhattan,East Village,40.72634,-73.98267,Entire home/apt,225,3,93,17/11/2015,1.05,1,0
New York Host who knows The Most,Darktalia,Manhattan,Harlem,40.82703,-73.94311,Private room,85,3,6,05/09/2017,0.07,1,363
One Block From Central Park!,Michael,Manhattan,Upper East Side,40.78521,-73.95489,Entire home/apt,200,7,30,04/12/2016,0.34,1,224
"PARK SLOPE: SWEET, LARGE 2BR DUPLEX",William,Brooklyn,South Slope,40.66106,-73.98316,Entire home/apt,250,3,17,05/07/2019,0.46,1,5
Light Superhosted Chill LES Apt,David,Manhattan,Lower East Side,40.72123,-73.98996,Private room,90,10,67,16/05/2019,0.77,1,301
Big Beautiful Railroad in Brooklyn,John,Brooklyn,Bushwick,40.70339,-73.92945,Entire home/apt,130,30,53,30/06/2017,0.68,1,0
"Bright Brooklyn Flat w/Park Views, 30 day minimum",Esther,Brooklyn,Prospect-Lefferts Gardens,40.66009,-73.96237,Entire home/apt,90,30,32,11/10/2016,0.37,1,50
"ECO-APT, free YOGA, 2 new bedrooms. Best location!",Loretta,Brooklyn,Carroll Gardens,40.67939,-73.99398,Entire home/apt,298,30,131,23/06/2019,1.84,2,296
"Sunny UES 1.5 Bedroom, Sleeps 6",Maya,Manhattan,Upper East Side,40.76494,-73.95804,Entire home/apt,300,4,19,21/05/2019,0.22,1,84
Stay with a Jazz Singer in Harlem!,Amanda,Manhattan,Harlem,40.80192,-73.95827,Private room,125,1,0,,,1,365
Large Private Room Near Central Park & Mount Sinai,K. Naomi,Manhattan,East Harlem,40.79314,-73.94853,Private room,125,3,74,28/05/2019,0.84,3,212
Luxury room in Manhattan Duplex Apt,Candice,Manhattan,Midtown,40.7453,-73.99056,Private room,145,3,165,03/07/2019,1.88,2,181
"Gorgeous Sunny, Spacious 1 bdrm in East Village",Katya,Manhattan,East Village,40.72812,-73.97966,Entire home/apt,147,2,16,02/01/2019,0.18,1,0
ARTIST LOFT+OFFICE in PRIME WILLIAMSBURG!,Jsun,Brooklyn,Williamsburg,40.7093,-73.96484,Private room,123,3,269,05/06/2019,3.09,3,158
Private Garden Entry,Jeruschka,Brooklyn,Windsor Terrace,40.64791,-73.97904,Entire home/apt,88,3,243,24/06/2019,2.75,1,217
LUXE Privé L.I.C. Apt & Garden,Megan,Queens,Long Island City,40.75453,-73.93377,Entire home/apt,215,2,59,01/07/2019,0.94,1,335
"Magazine SOHO Studio Loft. 
Read our reviews!",M. C.,Manhattan,SoHo,40.72057,-73.99976,Entire home/apt,225,3,134,22/06/2019,1.53,1,231
Nolita apt. with private garden,Marie-Helene,Manhattan,Nolita,40.7234,-73.99439,Entire home/apt,269,28,81,03/07/2019,0.93,1,122
Family friendly Williamsburg Apt for Vacation!,Erin,Brooklyn,Williamsburg,40.71121,-73.94669,Entire home/apt,145,3,7,22/10/2016,0.08,1,270
BROWNSTONE TWO IN BROOKLYN in NYC,Majar,Brooklyn,Bushwick,40.68979,-73.91661,Private room,75,3,112,26/05/2019,1.28,8,330
Charming West Village One Bedroom,Marshall,Manhattan,Greenwich Village,40.73448,-73.99797,Entire home/apt,145,5,0,,,1,0
Brooklyn Brownstone full floor/garden ProspectPark,Andre,Brooklyn,Prospect-Lefferts Gardens,40.65937,-73.95906,Entire home/apt,229,2,92,09/06/2019,1.05,1,321
"Family friendly,  steps to subway, large garden :)",Elizabeth,Brooklyn,Boerum Hill,40.68599,-73.98826,Entire home/apt,300,29,23,14/02/2019,0.26,2,312
Private Sunny Room Near Central Park & Mount Sinai,K. Naomi,Manhattan,East Harlem,40.79477,-73.95046,Private room,100,3,67,28/05/2019,0.76,3,345
"1 bdr apt, sunny & artsy, 4 min walk to the beach",Olga,Brooklyn,Brighton Beach,40.5781,-73.95455,Entire home/apt,75,2,8,18/09/2016,0.1,1,2
"""Simple Perfect Soho""",Jennifer,Manhattan,Nolita,40.72278,-73.9967,Entire home/apt,225,2,244,01/07/2019,2.81,2,252
Beautiful Room + Private Balcony,Jonathan,Brooklyn,Williamsburg,40.71472,-73.96225,Private room,120,6,62,17/05/2019,0.7,2,15
"3 BR apartment Crown Heights, BKLYN",Verena,Brooklyn,Crown Heights,40.66924,-73.94406,Entire home/apt,160,5,125,02/07/2019,1.47,3,169
Brownstone Sunny & Spacious top fl,Linda,Brooklyn,Crown Heights,40.67259,-73.95489,Entire home/apt,125,30,58,01/06/2019,0.67,2,212
"Morocco in Brooklyn with the flyest loft, Amazing!",Kim,Brooklyn,Bedford-Stuyvesant,40.69321,-73.9442,Entire home/apt,95,5,9,03/09/2018,0.1,1,0
Perfect NYC/Williamsburg Location,Omri,Brooklyn,Williamsburg,40.71348,-73.94447,Private room,119,3,137,13/06/2019,1.57,1,296
Midtown East Sutton Area Entire Apt,Cary,Manhattan,Midtown,40.75816,-73.96457,Entire home/apt,275,2,16,09/05/2019,0.24,1,167
Finest Gateway to historic Financial District,Dan,Manhattan,Financial District,40.70537,-74.00992,Entire home/apt,160,1,36,26/09/2018,0.57,1,365
Industrial Brooklyn Loft with Tree-Lined Windows,Shell,Brooklyn,Clinton Hill,40.68722,-73.96289,Entire home/apt,500,1,54,24/03/2019,0.65,4,365
Cute east village apartment.,Martis,Manhattan,East Village,40.73111,-73.98528,Entire home/apt,175,14,1,31/05/2016,0.03,1,0
"All Charm: Lush Garden, Huge Kitchen + Quiet",Jasmine,Brooklyn,Greenpoint,40.72212,-73.94389,Entire home/apt,87,6,39,13/03/2019,0.47,2,258
Bright and Quiet 2 BR in Park Slope,Vero,Brooklyn,Park Slope,40.66626,-73.97933,Entire home/apt,160,1,145,22/06/2019,1.76,2,257
"Cozy, bright 1BR avail. in East Village apartment",Marshall,Manhattan,East Village,40.72978,-73.9793,Private room,125,3,28,25/06/2019,0.33,1,364
Stylish Loft w/Lovely Backyard,Eada,Brooklyn,Bedford-Stuyvesant,40.68838,-73.94193,Entire home/apt,90,2,206,30/06/2019,2.4,1,236
Great Apt IDEAL Location 900 SF,Maddine,Manhattan,Lower East Side,40.71804,-73.98565,Entire home/apt,200,7,4,04/05/2019,0.22,1,0
Garden - Brownstone Experience,Richard,Brooklyn,Bedford-Stuyvesant,40.68559,-73.93896,Entire home/apt,250,15,37,30/10/2016,0.52,2,54
Gorgeous ! Best Location in NYC !,Lynda,Manhattan,Upper West Side,40.77995,-73.98342,Private room,99,30,27,11/08/2017,0.31,1,189
luxury 1 BedRoom Apt Hells Kitchen,Jasen,Manhattan,Hell's Kitchen,40.7559,-73.99469,Entire home/apt,325,30,18,21/05/2016,0.21,1,364
Luxury room + En-suite bath in Times Sq/Midtown W,Jj,Manhattan,Hell's Kitchen,40.76291,-73.99202,Private room,99,1,134,02/04/2019,1.54,1,265
"Chic, Spacious Loft + Backyard",Akari,Manhattan,Midtown,40.74406,-73.98273,Entire home/apt,325,2,197,20/06/2019,2.25,1,207
Sunny and Zen W. Village Studio of Your Own,Shelley,Manhattan,West Village,40.73041,-74.00498,Entire home/apt,129,7,5,21/05/2015,0.09,1,0
2BR Lux Prospect Heights,Supriya,Brooklyn,Crown Heights,40.6764,-73.96218,Entire home/apt,130,28,5,06/10/2015,0.06,1,196
"An airy, comfy, bookish refuge!",Rafil,Brooklyn,Vinegar Hill,40.70279,-73.98284,Entire home/apt,190,4,8,02/01/2018,0.09,1,0
Bright & Vibrant- The BK experience,Rachael,Brooklyn,Crown Heights,40.67436,-73.956,Private room,55,2,62,11/05/2019,0.71,2,57
"Very clean, quiet bedroom available",Elaine,Manhattan,Washington Heights,40.83559,-73.94095,Private room,60,2,13,31/01/2017,0.15,1,0
